title,year
The Rising Son,1990
The Thousand Plane Raid,1969
Crucea de piatra,1993
Alex in Wonderland,1970
Women's Prison,1955
Severny variant,1974
Charlie's Ear,1992
Insaaf Main Karoonga,1985
Los siete locos,1973
Io sono un autarchico,1976
Mahapurush,1965
Ang pumatay ng dahil sa iyo,1989
Conflict of Interest,1993
Arrive Alive,1990
Der Brocken,1992
The Court,1998
The Neverending Story II: The Next Chapter,1990
La momia azteca contra el robot humano,1958
Torn Apart,1990
Way Out,1967
Tin dei hung sam,1997
Critical Care,1997
Migimagari No Dandy,1989
I lagens namn,1986
Pellama Mazaka,1993
Bruce's Ninja Secret,1988
Ji-mineun seulpeuji anhda,1963
Vacances portugaises,1963
Dr. Yes,1965
Vivre pour survivre,1985
Yu ya gong wu,1992
California Dreaming,1979
Ai no Sanka,1967
Doubles,1978
Thieves of Fortune,1990
Botta e risposta,1950
Perdeu-se um Marido,1957
Taylor's Return,1997
Don wo utta otoko,1999
Luchadores de las estrellas,1992
La puritaine,1986
Cone of Silence,1960
Conspiracy Theory,1997
Bijeon,1970
Grandeur nature,1974
Kimurake no hitobito,1988
Qiu yu can hua,1953
The Strongest Man in the World,1975
Hi no tori,1956
Polites B' katigorias,1981
Jie shi huang hou,1964
Rock Rock Rock!,1956
Makarov,1994
"Quem Sabe, Sabe!",1956
The Lilian Velez Story: Till Death Do Us Part,1995
Nyaya Anyaya,1990
Toryu-den,1995
Water,1985
Blood Beach,1980
Girl with Green Eyes,1964
Ahankari,1992
Shanto keno mastan,1998
Firstborn,1984
Lady Wolf,1991
Goli covjek,1968
Cadavere per signora,1964
If Lucy Fell,1996
Yu dao nu chao,1977
Honey,1982
Chrome Hearts,1989
"Cry, the Beloved Country",1995
Weekend at Bernie's II,1993
Yin shen nu xia,1957
Yosmalar tuzagi,1971
No pan shabu shabu: kahanshin settai,1998
Alin yazisi,1972
Dr Jekyll & Sister Hyde,1971
Baby Cat,1983
OK 12 startuje,1961
Te bie shou shu shi,1988
O Rei da Boca,1982
Doea tanda mata,1985
Bez pravosudiya,1991
Laki-laki pilihan,1973
Dryan,1990
Namdaemun chulshin Yong-pali,1970
Margherita da Cortona,1950
Paraisong gubat,1986
Dust to Dust,1994
Prick Up Your Ears,1987
Next to No Time,1958
Scenes from the Goldmine,1987
Somos novios,1969
Hellyys,1972
Uruvam,1991
Home Free All,1984
Safe Sex,1999
Jigoku sakusen,1964
"Met Moed, Durf en Bloed",1973
In the Aftermath,1988
Ah bu kadinlar,1967
Daddy's Girl,1996
La grande vadrouille,1966
Mavi boncuk,1958
Go,1999
Tres balas perdidas,1961
Kataigida,1965
I Patania,1997
Merhamet,1967
Criminals,1997
Double Bunk,1961
Magavari Mayalu,1960
Gunes ne zaman dogacak,1978
Pardon My French,1951
Stripes,1981
Karumakkarayo,1980
Hongui janggun,1973
Pelli Chesi Choodu,1952
Hwarang-V samchongsa,1987
The Newlydeads,1988
Gori,1992
Beings,1998
Wu zhao shi ba fan,1979
Mastermind,1965
"Easy Come, Easy Go",1967
Zgvarze,1993
Los signos del zodiaco,1963
Unhook the Stars,1996
Processo per direttissima,1974
Vandaag of morgen,1976
Magic Pony,1985
Le grand pardon,1982
U sukobu,1963
Feng liu shi ba che,1975
Jesus' Son,1999
Cloud Dancer,1980
Belli e brutti ridono tutti,1979
The Real Psycho,1998
Ukikusa,1959
Agraharathil Kazhuthai,1977
Il sapore del grano,1986
Subway,1985
Orlovi rano lete,1966
Family Viewing,1987
The Challenge,1960
The In-Laws,1979
Ying zi shen bian,1971
Tatlong kasalanan,1998
"Sikat na, siga pa",1961
Horror Story,1997
Les Situs heureux,1970
Grizzly Mountain,1997
Morometii,1987
Kemonomichi,1965
Long hu kong shou dao,1973
Ai qing wan sui,1994
Paano tatakasan ang bukas?,1988
The Snow Bunnies,1972
Semyon Dezhnev,1984
Enkelipeli,1986
The Jet Benny Show,1986
Rita,1962
Prem Sandesh,1988
"L'uomo, la donna e la bestia - Spell (Dolce mattatoio)",1977
Kua zhi hu,1981
Pernikahan berdarah,1990
Le strelle nel fosso,1979
Rheinsberg,1967
Pyeongyang maenbal,1980
Mate doma lva?,1964
La frontera en llamas,1994
Devajani,1981
Fluke,1995
Secuestro,1986
Maut Ki Lakeer,1991
Trouble Bound,1993
Aventuras del Oeste,1965
Fuego,1969
The Basketball Diaries,1995
Never Cry Wolf,1983
Obiettivo ragazze,1963
"So Evil, My Sister",1974
Istanbul tatili,1968
None But the Brave,1963
Judith Therpauve,1978
Historias de vida,1982
Judgment Night,1993
Evlilik sirketi,1977
Boys on the Side,1995
"Pussycat, Pussycat, I Love You",1970
Isang paa sa hukay,1958
5 pollas en peligro,1986
Itinakwil man kita,1966
Akryeong,1974
Dos hijos desobedientes,1960
Late for Dinner,1991
Wild Guitar,1962
Nianchan,1960
Geudeulmanui sesang,1996
Rekordi,1973
Pistolero a sueldo,1989
Mercenari dell'apocalisse,1987
Artik sevmeyecegim,1968
Immortal Combat,1994
Sarbaz-e eslam,1980
The Lost Class of '59,1959
The King's Pirate,1967
May isang brilyante,1973
Pasqualino Cammarata... capitano di fregata,1974
Pravo na izbor,1989
As Horas de Maria,1979
Dorogoy tsenoy,1957
Return of the Dragon,1974
Ice Cold in Alex,1958
Leonora,1951
Les matous sont romantiques,1981
Shi xiong di,1995
Belmonte,1995
Una mujer para los sabados,1970
Killer Image,1992
Kuai huo lin,1972
Instinto de supervivencia,1991
Oru Minnaminunginte Nurungu Vettam,1987
Vtoraya popytka Viktora Krokhina,1977
Slovo dlya zashchity,1977
Gringgo,1967
Dis-moi qui tuer,1965
Dangerous Orphans,1985
Wenn man baden geht auf Teneriffa,1964
Blazing Saddles,1974
French Cancan,1954
Ye bao,1984
Tile-kannivaloi,1987
Posed for Murder,1989
Gli sbandati,1955
Huang jia du chuan,1990
Mayuri,1984
Marquise,1997
"Krasnye kolokola, film vtoroy - Ya videl rozhdenie novogo mira",1983
Tutajosok,1990
Hollywood Boulevard II,1990
Un certain monsieur,1950
Doctor in the House,1954
Jessica,1962
Akin ang iyong katawan,1984
Main Tera Aashiq,1994
Il giorno del giudizio,1971
La pantera de Monte Escondido,1962
Let's Go Navy!,1951
Soy chicano y mexicano,1975
Shaitan Tantrik,1999
Bolek i Lolek na Dzikim Zachodzie,1986
Mamma sconosciuta,1956
Baba Wansui,1954
Navodneniye,1994
Chor Bazar,1954
Kung ako'y maging dalaga,1954
'Venganza fatal',1960
A Family Thing,1996
Eddie D. Presents,1991
O Giannis takane thalassa,1964
Doomsday Machine,1972
Jors Troelie,1983
Cauchemares,1977
Razza violenta,1984
Autocine mon amour,1972
Na beregu bolshoy reki,1980
Jack el vigilante,1990
El tigre de Guanajuato: Leyenda de venganza,1965
Pipe Dreams,1976
Trafic de filles,1969
The Sentinel,1977
Charrito,1984
Oneiro se aspro fondo,1996
La playa del amor,1980
Pitzutz B'Hatzot,1966
White Lightning,1973
Death Riders,1994
Fei chang jing cha,1998
Un hombre llamado el diablo,1983
Colierul de turcoaze,1986
Feng shui er shi nian,1983
El pichichi del barrio,1989
Jacqueline,1959
The Boxer,1976
Khachmeruki deghatune,1988
Ekis: Walang tatakas,1999
Sunswept,1961
Dotei monogatari 4,1989
Paris After Midnight,1951
Survivor,1987
Iki yetime,1969
Phool Aur Aag,1999
L'amante dell'Orsa Maggiore,1971
Even Al Kol Meel,1954
Feng yu you lan,1959
Tie shan gong zhu,1966
The Howling,1981
One-Trick Pony,1980
Thammudu,1999
War Camp,1988
Shabnam,1964
Ninja Hunt,1986
Saengsaui talchul,1973
Jedermann,1961
Kurutta kajitsu,1956
Hum Hain Karan Arjun,1994
Akan-ni hatsu,1975
I senza Dio,1972
Naneun gobalhanda,1959
Le castagne sono buone,1970
Los verduleros 3,1992
Porto das Caixas,1962
El grito en el cielo,1998
Tiny Tim - The Luna Park Marathon,1979
Poochakkaru Mani Kettum,1994
